30252  # AMD Ryzen Threadripper PRO 7975WX 32-Cores @ 1.5 GHz — too slow
55712  # Texas, US — aborted, never started
28876  # Ontario, CA — aborted, never started
46165  # Argentina, AR — aborted, never started
11051  # Japan, JP — aborted, never started
9062  # Japan, JP — aborted, never started
58101  # The Netherlands, NL — aborted, never started
42652  # Sichuan, CN — stuck loading, never started
42696  # Sichuan, CN — aborted, never started
54399  # , CN — aborted, never started
34731  # Sichuan, CN — aborted, never started
4129  # Norway, NO — aborted, never started
58069  # Croatia, HR — aborted, never started
56079  # Germany, DE — aborted, never started
58883  # Vietnam, VN — aborted, never started
22955  # Bulgaria, BG — stuck loading, never started
25430  # Sichuan, CN — aborted, never started
47421  # Nebraska, US — aborted, never started
26475  # Taiwan, TW — stuck loading, never started
53123  # , CN — aborted, never started
22972  # Taiwan, TW — aborted, never started
19781  # Quebec, CA — aborted, never started
26013  # Sichuan, CN — aborted, never started
53881  # Slovakia, SK — aborted, never started
27999  # Finland, FI — aborted, never started
53527  # Tennessee, US — aborted, never started
13918  # Germany, DE — aborted, never started
